,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,text,modified_text_A,modified_text_B,modified_text_C,modified_text_D,modified_text_E,location_original,location_A,location_B,location_C,location_D,location_E,all_locations
121,121,121,121,121,121,121,121,"Hwy 19 east of Henderson is still closed. Water is receding, and once it's far enough off the roadway we can work on repairs. We anticipate to be able to work on it on Monday and reopen to traffic after. We'll update on Twitter when we do.","Highway 19 east of Henderson is still closed. Water is receding, and once it's far enough off the roadway we can work on repairs. We anticipate to be able to work on it on Monday and reopen to traffic after. We'll update on Twitter when we do.","At Highway 19 east of Henderson is still closed. Water is receding, and once it's far enough off the roadway we can work on repairs. We anticipate to be able to work on it on Monday and reopen to traffic after. We'll update on Twitter when we do.","At Highway 19 east of Henderson is still closed. Water is receding, and once it's far enough off the roadway we can work on repairs. We anticipate to be able to work on it on Monday and reopen to traffic after. We'll update on Twitter when we do.","At Highway 19 east of Henderson is still closed. Water is receding, and once it's far enough off the roadway we can work on repairs. We anticipate to be able to work on it on Monday and reopen to traffic after. We'll update on Twitter when we do.","At Highway 19 east of Henderson is still closed. Water is receding, and once it's far enough off the roadway we can work on repairs. We anticipate to be able to work on it on Monday and reopen to traffic after. We'll update on Twitter when we do.","{'Henderson', 'Twitter'}","{'Henderson', 'Twitter'}","{'Henderson', 'Twitter'}","{'Henderson', 'Twitter'}","{'Henderson', 'Twitter'}","{'Henderson', 'Twitter'}","{'Henderson', 'Twitter'}"
122,122,122,122,122,122,122,122,Hwy 263 in Welcome is closed for necessary repairs on the railroad tracks. Detour is posted on http:// 511mn.org pic.twitter.com/3rx1eN58zR,Highway 263 at Welcome is closed for necessary repairs on the railroad tracks. Detour is posted on http:// 511mn.org pic.twitter.com/3rx1eN58zR,At Highway 263 at Welcome is closed for necessary repairs on the railroad tracks. Detour is posted on http:// 511mn.org pic.twitter.com/3rx1eN58zR,At Highway 263 at Welcome is closed for necessary repairs on the railroad tracks. Detour is posted on http:// 511mn.org pic.twitter.com/3rx1eN58zR,At Highway 263 at Welcome is closed for necessary repairs on the railroad tracks. Detour is posted on http:// 511mn.org pic.twitter.com/3rx1eN58zR,At Highway 263 at Welcome is closed for necessary repairs on the railroad tracks. Detour is posted on http:// 511mn.org pic.twitter.com/3rx1eN58zR,{'Welcome'},,{'Highway 263'},{'Highway 263'},{'Highway 263'},{'Highway 263'},"{'Highway 263', 'Welcome'}"
123,123,123,123,123,123,123,123,It’s OPEN! At least one lane is open... Hwy 4 North of Sherburn closed since June 23rd is open to single lane traffic. Crews have installed temp flood walls to keep water off of the road. Use caution in area #flooding pic.twitter.com/wCLqQzYpeR,It’s OPEN! At least one lane is open... Highway 4 North of Sherburn closed since June 23rd is open to single lane traffic. Crews have installed temp flood walls to keep water off of the road. Use caution at area pic.twitter.com/wCLqQzYpeR,At It’s OPEN! At least one lane is open... Highway 4 North of Sherburn closed since June 23rd is open to single lane traffic. Crews have installed temp flood walls to keep water off of the road. Use caution at area pic.twitter.com/wCLqQzYpeR,At It’s OPEN! At least one lane is open... Highway 4 North of Sherburn closed since June 23rd is open to single lane traffic. Crews have installed temp flood walls to keep water off of the road. Use caution at area pic.twitter.com/wCLqQzYpeR,At It’s OPEN! At least one lane is open... Highway 4 North of Sherburn closed since June 23rd is open to single lane traffic. Crews have installed temp flood walls to keep water off of the road. Use caution at area #flooding pic.twitter.com/wCLqQzYpeR,At It’s OPEN! At least one lane is open... Highway 4 North of Sherburn closed since June 23rd is open to single lane traffic. Crews have installed temp flood walls to keep water off of the road. Use caution at area pic.twitter.com/wCLqQzYpeR,,,,,,,set()
124,124,124,124,124,124,124,124,"UPDATE: Hwy 68 near Courtland is OPEN. The road was closed since July 1 due to a mudslide - crews have since cleared significant mud, trees and debris. Check http:// 511mn.org for the latest road conditions.","UPDATE: Highway 68 near Courtland is OPEN. The road was closed since July 1 due to a mudslide - crews have since cleared significant mud, trees and debris. Check http:// 511mn.org for the latest road conditions.","At UPDATE: Highway 68 near Courtland is OPEN. The road was closed since July 1 due to a mudslide - crews have since cleared significant mud, trees and debris. Check http:// 511mn.org for the latest road conditions.","At UPDATE: Highway 68 near Courtland is OPEN. The road was closed since July 1 due to a mudslide - crews have since cleared significant mud, trees and debris. Check http:// 511mn.org for the latest road conditions.","At UPDATE: Highway 68 near Courtland is OPEN. The road was closed since July 1 due to a mudslide - crews have since cleared significant mud, trees and debris. Check http:// 511mn.org for the latest road conditions.","At UPDATE: Highway 68 near Courtland is OPEN. The road was closed since July 1 due to a mudslide - crews have since cleared significant mud, trees and debris. Check http:// 511mn.org for the latest road conditions.",{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'}
125,125,125,125,125,125,125,125,Hwy 93 from Hwy 169 to Henderson is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road updates dues to flooding in the area #mnwx,Highway 93 from Highway 169 to Henderson is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road updates dues to flooding at the area ,At Highway 93 from Highway 169 to Henderson is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road updates dues to flooding at the area ,At Highway 93 from Highway 169 to Henderson is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road updates dues to flooding at the area ,At Highway 93 from Highway 169 to Henderson is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road updates dues to flooding at the area #mnwx,At Highway 93 from Highway 169 to Henderson is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road updates dues to flooding at the area ,{'Henderson'},"{'Henderson', 'Highway 169'}","{'Highway 93', 'Henderson', 'Highway 169'}","{'Highway 93', 'Henderson', 'Highway 169'}","{'Highway 93', 'Henderson', 'Highway 169'}","{'Highway 93', 'Henderson', 'Highway 169'}","{'Highway 93', 'Highway 169', 'Henderson'}"
126,126,126,126,126,126,126,126,Crews have begun cleanup of over 8 feet of mud on the road and numerous trees. A large shelf of additional mud and trees is approximately 30 feet above the roadway. Road will remain closed until slope can be stabilized. https:// twitter.com/mndotscentral/ status/1013501481834745857 …,Crews have begun cleanup of over 8 feet of mud on the road and numerous trees. A large shelf of additional mud and trees is approximately 30 feet above the roadway. Road will remain closed until slope can be stabilized. https:// twitter.com/mndotscentral/ status/1013501481834745857 …,At Crews have begun cleanup of over 8 feet of mud on the road and numerous trees. A large shelf of additional mud and trees is approximately 30 feet above the roadway. Road will remain closed until slope can be stabilized. https:// twitter.com/mndotscentral/ status/1013501481834745857 …,At Crews have begun cleanup of over 8 feet of mud on the road and numerous trees. A large shelf of additional mud and trees is approximately 30 feet above the roadway. Road will remain closed until slope can be stabilized. https:// twitter.com/mndotscentral/ status/1013501481834745857 …,At Crews have begun cleanup of over 8 feet of mud on the road and numerous trees. A large shelf of additional mud and trees is approximately 30 feet above the roadway. Road will remain closed until slope can be stabilized. https:// twitter.com/mndotscentral/ status/1013501481834745857 …,At Crews have begun cleanup of over 8 feet of mud on the road and numerous trees. A large shelf of additional mud and trees is approximately 30 feet above the roadway. Road will remain closed until slope can be stabilized. https:// twitter.com/mndotscentral/ status/1013501481834745857 …,,,,,,,set()
127,127,127,127,127,127,127,127,Update ROAD CLOSED Hwy 68 west of Blue Earth Co Road 45 (just south of Courtland). Significant mud and tree debris on roadway. Road will be closed indefinitely. pic.twitter.com/ycGeLfOvGc,Update ROAD CLOSED Highway 68 west of Blue Earth Co Road 45 (just south of Courtland). Significant mud and tree debris on roadway. Road will be closed indefinitely. pic.twitter.com/ycGeLfOvGc,At Update ROAD CLOSED Highway 68 west of Blue Earth Co Road 45 (just south of Courtland). Significant mud and tree debris on roadway. Road will be closed indefinitely. pic.twitter.com/ycGeLfOvGc,At Update ROAD CLOSED Highway 68 west of Blue Earth Co Road 45 (just south of Courtland). Significant mud and tree debris on roadway. Road will be closed indefinitely. pic.twitter.com/ycGeLfOvGc,At Update ROAD CLOSED Highway 68 west of Blue Earth Co Road 45 (just south of Courtland). Significant mud and tree debris on roadway. Road will be closed indefinitely. pic.twitter.com/ycGeLfOvGc,At Update ROAD CLOSED Highway 68 west of Blue Earth Co Road 45 (just south of Courtland). Significant mud and tree debris on roadway. Road will be closed indefinitely. pic.twitter.com/ycGeLfOvGc,{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'}
128,128,128,128,128,128,128,128,ROAD CLOSED DUE TO MUDSLIDE. Hwy 68 near Courtland. Crews in route to assess the situation and remove debris if safe to do so.,ROAD CLOSED DUE TO MUDSLIDE. Highway 68 near Courtland. Crews at route to assess the situation and remove debris if safe to do so.,At ROAD CLOSED DUE TO MUDSLIDE. Highway 68 near Courtland. Crews at route to assess the situation and remove debris if safe to do so.,At ROAD CLOSED DUE TO MUDSLIDE. Highway 68 near Courtland. Crews at route to assess the situation and remove debris if safe to do so.,At ROAD CLOSED DUE TO MUDSLIDE. Highway 68 near Courtland. Crews at route to assess the situation and remove debris if safe to do so.,At ROAD CLOSED DUE TO MUDSLIDE. Highway 68 near Courtland. Crews at route to assess the situation and remove debris if safe to do so.,{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'},{'Courtland'}
129,129,129,129,129,129,129,129,Hwy 93 from Hwy 169 to Le Sueur is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road conditions as we continue to closely monitor rivers in the area #mnwx #flooding #MnDOT,Highway 93 from Highway 169 to Le Sueur is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road conditions as we continue to closely monitor rivers at the area ,At Highway 93 from Highway 169 to Le Sueur is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road conditions as we continue to closely monitor rivers at the area ,At Highway 93 from Highway 169 to Le Sueur is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road conditions as we continue to closely monitor rivers at the area ,At Highway 93 from Highway 169 to Le Sueur is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road conditions as we continue to closely monitor rivers at the area #mnwx #flooding #MnDOT,At Highway 93 from Highway 169 to Le Sueur is OPEN. It was previously closed due to flooding of the Minnesota River. Check http:// 511mn.org for road conditions as we continue to closely monitor rivers at the area ,,"{'Le Sueur', 'Highway 169'}","{'Highway 93', 'Le Sueur', 'Highway 169'}","{'Highway 93', 'Le Sueur', 'Highway 169'}","{'Highway 93', 'Le Sueur', 'Highway 169'}","{'Highway 93', 'Le Sueur', 'Highway 169'}","{'Highway 93', 'Highway 169', 'Le Sueur'}"
130,130,130,130,130,130,130,130,The waiting game begins... The final section of roadway in the Le Sueur/Henderson area is now closed. Hwy 19 and both segments of 93 are closed until floodwaters recede and any damage can be repaired. Stay tuned for updates on the Hwy 169 reconstruction impacts to the area pic.twitter.com/bUnPg9yCm7,The waiting game begins... The final section of roadway at the Le Sueur/Henderson area is now closed. Highway 19 and both segments of 93 are closed until floodwaters recede and any damage can be repaired. Stay tuned for updates on the Highway 169 reconstruction impacts to the area pic.twitter.com/bUnPg9yCm7,At The waiting game begins... The final section of roadway at the Le Sueur/Henderson area is now closed. Highway 19 and both segments of 93 are closed until floodwaters recede and any damage can be repaired. Stay tuned for updates on the Highway 169 reconstruction impacts to the area pic.twitter.com/bUnPg9yCm7,At The waiting game begins... The final section of roadway at the Le Sueur/Henderson area is now closed. Highway 19 and both segments of 93 are closed until floodwaters recede and any damage can be repaired. Stay tuned for updates on the Highway 169 reconstruction impacts to the area pic.twitter.com/bUnPg9yCm7,At The waiting game begins... The final section of roadway at the Le Sueur/Henderson area is now closed. Highway 19 and both segments of 93 are closed until floodwaters recede and any damage can be repaired. Stay tuned for updates on the Highway 169 reconstruction impacts to the area pic.twitter.com/bUnPg9yCm7,At The waiting game begins... The final section of roadway at the Le Sueur/Henderson area is now closed. Highway 19 and both segments of 93 are closed until floodwaters recede and any damage can be repaired. Stay tuned for updates on the Highway 169 reconstruction impacts to the area pic.twitter.com/bUnPg9yCm7,{'the Le Sueur'},"{'the Le Sueur', 'Highway 169'}","{'the Le Sueur', 'Highway 169'}","{'the Le Sueur', 'Highway 169'}","{'the Le Sueur', 'Highway 169'}","{'the Le Sueur', 'Highway 169'}","{'the Le Sueur', 'Highway 169'}"
131,131,131,131,131,131,131,131,Water still rising at on Hwy 4 near Sherburn. Road remains closed indefinitely. pic.twitter.com/QNxRthqNE4,Water still rising at on Highway 4 near Sherburn. Road remains closed indefinitely. pic.twitter.com/QNxRthqNE4,At Water still rising at on Highway 4 near Sherburn. Road remains closed indefinitely. pic.twitter.com/QNxRthqNE4,At Water still rising at on Highway 4 near Sherburn. Road remains closed indefinitely. pic.twitter.com/QNxRthqNE4,At Water still rising at on Highway 4 near Sherburn. Road remains closed indefinitely. pic.twitter.com/QNxRthqNE4,At Water still rising at on Highway 4 near Sherburn. Road remains closed indefinitely. pic.twitter.com/QNxRthqNE4,,"{'Sherburn', 'Highway 4'}","{'Sherburn', 'Highway 4'}","{'Sherburn', 'Highway 4'}","{'Sherburn', 'Highway 4'}","{'Sherburn', 'Highway 4'}","{'Sherburn', 'Highway 4'}"
132,132,132,132,132,132,132,132,Heavy rains falling in southern Minnesota near Blue Earth. Highway 169 closed in town. With current saturated ground other roads may go underwater with little notice. #MNwx #Flooding pic.twitter.com/I0MNW1Zrof,Heavy rains falling at southern Minnesota near Blue Earth. Highway 169 closed at town. With current saturated ground other roads may go underwater with little notice. pic.twitter.com/I0MNW1Zrof,At Heavy rains falling at southern Minnesota near Blue Earth. Highway 169 closed at town. With current saturated ground other roads may go underwater with little notice. pic.twitter.com/I0MNW1Zrof,At Heavy rains falling at southern Minnesota near Blue Earth. Highway 169 closed at town. With current saturated ground other roads may go underwater with little notice. pic.twitter.com/I0MNW1Zrof,At Heavy rains falling at southern Minnesota near Blue Earth. Highway 169 closed at town. With current saturated ground other roads may go underwater with little notice. #MNwx #Flooding pic.twitter.com/I0MNW1Zrof,At Heavy rains falling at southern Minnesota near Blue Earth. Highway 169 closed at town. With current saturated ground other roads may go underwater with little notice. pic.twitter.com/I0MNW1Zrof,"{'Blue Earth', 'Minnesota'}","{'Blue Earth', 'Minnesota'}","{'Blue Earth', 'Minnesota'}","{'Blue Earth', 'Minnesota'}","{'Blue Earth', 'Minnesota'}","{'Blue Earth', 'Minnesota'}","{'Blue Earth', 'Minnesota'}"
133,133,133,133,133,133,133,133,"ROAD CLOSED: Hwy 71 is closed south of Hwy 14 near Sanborn due to a crash. Traffic is being detoured on CR15 east and west, and CR115 north and south.","ROAD CLOSED: Highway 71 is closed south of Highway 14 near Sanborn due to a crash. Traffic is being detoured on CR15 east and west, and CR115 north and south.","At ROAD CLOSED: Highway 71 is closed south of Highway 14 near Sanborn due to a crash. Traffic is being detoured on CR15 east and west, and CR115 north and south.","At ROAD CLOSED: Highway 71 is closed south of Highway 14 near Sanborn due to a crash. Traffic is being detoured on CR15 east and west, and CR115 north and south.","At ROAD CLOSED: Highway 71 is closed south of Highway 14 near Sanborn due to a crash. Traffic is being detoured on CR15 east and west, and CR115 north and south.","At ROAD CLOSED: Highway 71 is closed south of Highway 14 near Sanborn due to a crash. Traffic is being detoured on CR15 east and west, and CR115 north and south.",{'Sanborn'},"{'Sanborn', 'Highway 14'}","{'Sanborn', 'Highway 14'}","{'Sanborn', 'Highway 14'}","{'Sanborn', 'Highway 14'}","{'Sanborn', 'Highway 14'}","{'Highway 14', 'Sanborn'}"
134,134,134,134,134,134,134,134,ROAD CLOSED - Hwy 93 between Henderson and Hwy 169. Rush River is now overtopping the road. #flooding #MNwx pic.twitter.com/F287ZbLdiO,ROAD CLOSED - Highway 93 at Henderson and Highway 169. Rush River is now overtopping the road. pic.twitter.com/F287ZbLdiO,At ROAD CLOSED - Highway 93 Henderson and Highway 169. Rush River is now overtopping the road. pic.twitter.com/F287ZbLdiO,At ROAD CLOSED - Highway 93 Henderson and Highway 169. Rush River is now overtopping the road. pic.twitter.com/F287ZbLdiO,At ROAD CLOSED - Highway 93 Henderson and Highway 169. Rush River is now overtopping the road. #flooding #MNwx pic.twitter.com/F287ZbLdiO,At ROAD CLOSED - Highway 93 at Henderson and Highway 169. Rush River is now overtopping the road. pic.twitter.com/F287ZbLdiO,,{'Henderson'},,,,{'Henderson'},{'Henderson'}
135,135,135,135,135,135,135,135,Hwy 19 east of Gibbon at mile marker 105 is closed until further notice due to a semi blocking the roadway.,Highway 19 east of Gibbon at mile marker 105 is closed until further notice due to a semi blocking the roadway.,At Highway 19 east of Gibbon at mile marker 105 is closed until further notice due to a semi blocking the roadway.,At Highway 19 east of Gibbon at mile marker 105 is closed until further notice due to a semi blocking the roadway.,At Highway 19 east of Gibbon at mile marker 105 is closed until further notice due to a semi blocking the roadway.,At Highway 19 east of Gibbon at mile marker 105 is closed until further notice due to a semi blocking the roadway.,{'Gibbon'},,,,,,{'Gibbon'}
136,136,136,136,136,136,136,136,ROAD CLOSED DUE TO FLOODING. Hwy 19 from Henderson to Hwy 169. The Minnesota River has overtopped the road . Additional closures in the area are likely as the river continues to rise. #mnwx @HendersonMN pic.twitter.com/3737t8cdSb,ROAD CLOSED DUE TO FLOODING. Highway 19 from Henderson to Highway 169. The Minnesota River has overtopped the road . Additional closures at the area are likely as the river continues to rise. @HendersonMN pic.twitter.com/3737t8cdSb,At ROAD CLOSED DUE TO FLOODING. Highway 19 from Henderson to Highway 169. The Minnesota River has overtopped the road . Additional closures at the area are likely as the river continues to rise. @HendersonMN pic.twitter.com/3737t8cdSb,At ROAD CLOSED DUE TO FLOODING. Highway 19 from Henderson to Highway 169. The Minnesota River has overtopped the road . Additional closures at the area are likely as the river continues to rise. @HendersonMN pic.twitter.com/3737t8cdSb,At ROAD CLOSED DUE TO FLOODING. Highway 19 from Henderson to Highway 169. The Minnesota River has overtopped the road . Additional closures at the area are likely as the river continues to rise. #mnwx @HendersonMN pic.twitter.com/3737t8cdSb,At ROAD CLOSED DUE TO FLOODING. Highway 19 from Henderson to Highway 169. The Minnesota River has overtopped the road . Additional closures at the area are likely as the river continues to rise. @HendersonMN pic.twitter.com/3737t8cdSb,{'Henderson'},"{'Highway', 'Henderson'}","{'Highway', 'Henderson'}","{'Highway', 'Henderson'}","{'Highway', 'Henderson'}","{'Highway', 'Henderson'}","{'Highway', 'Henderson'}"
137,137,137,137,137,137,137,137,ROAD CLOSED DUE TO FLOODING - Hwy 93 between Hwy 169 and Henderson. Rush River currently overtopping road. Minnesota River expected have additional impacts in the area midweek as it crests. pic.twitter.com/PWJn2OE9bO,ROAD CLOSED DUE TO FLOODING - Highway 93 at Highway 169 and Henderson. Rush River currently overtopping road. Minnesota River expected have additional impacts at the area midweek as it crests. pic.twitter.com/PWJn2OE9bO,At ROAD CLOSED DUE TO FLOODING - Highway 93 Highway 169 and Henderson. Rush River currently overtopping road. Minnesota River expected have additional impacts at the area midweek as it crests. pic.twitter.com/PWJn2OE9bO,At ROAD CLOSED DUE TO FLOODING - Highway 93 Highway 169 and Henderson. Rush River currently overtopping road. Minnesota River expected have additional impacts at the area midweek as it crests. pic.twitter.com/PWJn2OE9bO,At ROAD CLOSED DUE TO FLOODING - Highway 93 Highway 169 and Henderson. Rush River currently overtopping road. Minnesota River expected have additional impacts at the area midweek as it crests. pic.twitter.com/PWJn2OE9bO,At ROAD CLOSED DUE TO FLOODING - Highway 93 at Highway 169 and Henderson. Rush River currently overtopping road. Minnesota River expected have additional impacts at the area midweek as it crests. pic.twitter.com/PWJn2OE9bO,"{'Rush River', 'Henderson'}","{'Rush River', 'Henderson', 'Highway 169'}","{'Rush River', 'Henderson'}","{'Rush River', 'Henderson'}","{'Rush River', 'Henderson'}","{'Rush River', 'Henderson', 'Highway 169'}","{'Rush River', 'Highway 169', 'Henderson'}"
138,138,138,138,138,138,138,138,"Blue Earth, Sibley, Faribault and Waseca counties have been added to no travel advised. Hwy 15 in western Nicollet County through Brown County are closed. Continue checking http:// 511mn.org for the latest road updates during the storm #mnwx","Blue Earth, Sibley, Faribault and Waseca counties have been added to no travel advised. Highway 15 at western Nicollet County through Brown County are closed. Continue checking http:// 511mn.org for the latest road updates during the storm ","At Blue Earth, Sibley, Faribault and Waseca counties have been added to no travel advised. Highway 15 at western Nicollet County through Brown County are closed. Continue checking http:// 511mn.org for the latest road updates during the storm ","At Blue Earth, Sibley, Faribault and Waseca counties have been added to no travel advised. Highway 15 at western Nicollet County through Brown County are closed. Continue checking http:// 511mn.org for the latest road updates during the storm ","At Blue Earth, Sibley, Faribault and Waseca counties have been added to no travel advised. Highway 15 at western Nicollet County through Brown County are closed. Continue checking http:// 511mn.org for the latest road updates during the storm #mnwx","At Blue Earth, Sibley, Faribault and Waseca counties have been added to no travel advised. Highway 15 at western Nicollet County through Brown County are closed. Continue checking http:// 511mn.org for the latest road updates during the storm ","{'Brown County', 'Nicollet County'}","{'Brown County', 'Nicollet County'}","{'Brown County', 'Nicollet County'}","{'Brown County', 'Nicollet County'}","{'Brown County', 'Nicollet County'}","{'Brown County', 'Nicollet County'}","{'Brown County', 'Nicollet County'}"
139,139,139,139,139,139,139,139,WB60 near Heron Lake is closed due a multiple vehicle crash. Traffic being detoured on to local roads. Roads in SW MN remain snow and ice covered and very slippery. #slowdown,WB60 near Heron Lake is closed due a multiple vehicle crash. Traffic being detoured on to local roads. Roads at SW MN remain snow and ice covered and very slippery. ,At WB60 near Heron Lake is closed due a multiple vehicle crash. Traffic being detoured on to local roads. Roads at SW MN remain snow and ice covered and very slippery. ,At WB60 near Heron Lake is closed due a multiple vehicle crash. Traffic being detoured on to local roads. Roads at SW MN remain snow and ice covered and very slippery. ,At WB60 near Heron Lake is closed due a multiple vehicle crash. Traffic being detoured on to local roads. Roads at SW MN remain snow and ice covered and very slippery. #slowdown,At WB60 near Heron Lake is closed due a multiple vehicle crash. Traffic being detoured on to local roads. Roads at SW MN remain snow and ice covered and very slippery. ,{'SW'},,{'SW'},{'SW'},{'SW'},{'SW'},{'SW'}
140,140,140,140,140,140,140,140,Hwy 4 in St. James is closed from 8am - noon today for railroad repairs https:// hb.511mn.org/#roadReports?t imeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding%2CotherStates … pic.twitter.com/NUYTFNL9s1,Highway 4 at St. James is closed from 8am - noon today for railroad repairs https:// hb.511mn.org/#roadReports?t imeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding%2CotherStates … pic.twitter.com/NUYTFNL9s1,At Highway 4 at St. James is closed from 8am - noon today for railroad repairs https:// hb.511mn.org/#roadReports?t imeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding%2CotherStates … pic.twitter.com/NUYTFNL9s1,At Highway 4 at St. James is closed from 8am - noon today for railroad repairs https:// hb.511mn.org/#roadReports?t imeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding%2CotherStates … pic.twitter.com/NUYTFNL9s1,At Highway 4 at St. James is closed from 8am - noon today for railroad repairs https:// hb.511mn.org/#roadReports?t imeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding%2CotherStates … pic.twitter.com/NUYTFNL9s1,At Highway 4 at St. James is closed from 8am - noon today for railroad repairs https:// hb.511mn.org/#roadReports?t imeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding%2CotherStates … pic.twitter.com/NUYTFNL9s1,,,{'Highway 4'},{'Highway 4'},{'Highway 4'},{'Highway 4'},{'Highway 4'}
141,141,141,141,141,141,141,141,Road closed due to crash. Hwy 99 at Co 21 (1 mi east of St Peter) pic.twitter.com/mWDlbg6V6i,Road closed due to crash. Highway 99 at Co 21 (1 mi east of St Peter) pic.twitter.com/mWDlbg6V6i,At Road closed due to crash. Highway 99 at Co 21 (1 mi east of St Peter) pic.twitter.com/mWDlbg6V6i,At Road closed due to crash. Highway 99 at Co 21 (1 mi east of St Peter) pic.twitter.com/mWDlbg6V6i,At Road closed due to crash. Highway 99 at Co 21 (1 mi east of St Peter) pic.twitter.com/mWDlbg6V6i,At Road closed due to crash. Highway 99 at Co 21 (1 mi east of St Peter) pic.twitter.com/mWDlbg6V6i,,,,,,,set()
142,142,142,142,142,142,142,142,Hwy 93 at Le Sueur closed Nov. 13-16 for railroad bridge work. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/XHsRP5ozm3,Highway 93 at Le Sueur closed Nov. 13-16 for railroad bridge work. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/XHsRP5ozm3,At Highway 93 at Le Sueur closed Nov. 13-16 for railroad bridge work. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/XHsRP5ozm3,At Highway 93 at Le Sueur closed Nov. 13-16 for railroad bridge work. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/XHsRP5ozm3,At Highway 93 at Le Sueur closed Nov. 13-16 for railroad bridge work. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/XHsRP5ozm3,At Highway 93 at Le Sueur closed Nov. 13-16 for railroad bridge work. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/XHsRP5ozm3,{'Le Sueur'},{'Le Sueur'},"{'Highway 93', 'Le Sueur'}","{'Highway 93', 'Le Sueur'}","{'Highway 93', 'Le Sueur'}","{'Highway 93', 'Le Sueur'}","{'Highway 93', 'Le Sueur'}"
143,143,143,143,143,143,143,143,Highway 93 at Le Sueur closed intermittently for railroad bridge work Nov. 7-8 & Nov. 13-16. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/ltfLIOourQ,Highway 93 at Le Sueur closed intermittently for railroad bridge work Nov. 7-8 & Nov. 13-16. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/ltfLIOourQ,At Highway 93 at Le Sueur closed intermittently for railroad bridge work Nov. 7-8 & Nov. 13-16. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/ltfLIOourQ,At Highway 93 at Le Sueur closed intermittently for railroad bridge work Nov. 7-8 & Nov. 13-16. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/ltfLIOourQ,At Highway 93 at Le Sueur closed intermittently for railroad bridge work Nov. 7-8 & Nov. 13-16. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/ltfLIOourQ,At Highway 93 at Le Sueur closed intermittently for railroad bridge work Nov. 7-8 & Nov. 13-16. http://www. dot.state.mn.us/d7/newsrels/20 17/11/3hwy93.html … pic.twitter.com/ltfLIOourQ,{'Le Sueur'},{'Le Sueur'},"{'Highway 93', 'Le Sueur'}","{'Highway 93', 'Le Sueur'}","{'Highway 93', 'Le Sueur'}","{'Highway 93', 'Le Sueur'}","{'Highway 93', 'Le Sueur'}"
